iter	Passed	Remaining
0	1	105
1	2	103
2	3	121
3	4	107
4	5	105
5	6	104
6	8	107
7	9	104
8	9	100
9	10	97
10	11	95
11	12	92
12	13	89
13	14	88
14	15	88
15	16	87
16	17	85
17	18	83
18	19	84
19	20	83
20	21	81
21	23	83
22	24	82
23	25	80
24	26	79
25	27	77
26	28	76
27	29	74
28	30	73
29	30	72
30	31	70
31	32	69
32	33	68
33	34	67
34	35	66
35	36	65
36	37	63
37	38	63
38	39	62
39	40	61
40	41	59
41	42	58
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	51	49
51	51	47
52	53	47
53	54	46
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	60	38
61	61	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	70	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	75	22
77	76	21
78	77	20
79	78	19
80	79	18
81	80	17
82	81	16
83	82	15
84	83	14
85	84	13
86	85	12
87	86	11
88	87	10
89	87	9
90	88	8
91	89	7
92	90	6
93	91	5
94	92	4
95	93	3
96	94	2
97	95	1
98	96	0
99	97	0
